# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=9.0) err(r=9.0) flux(r=10.0) err(r=10.0) flux(r=11.0) err(r=11.0) flux(r=12.0) err(r=12.0) flux(r=13.0) err(r=13.0) flux(r=14.0) err(r=14.0) 
7800.099692 1.9196 2560.9 -1.522 -0.067 10.35 13180.2 MSCL0_1702150533 0.999256 0.002186 0.999411 0.002217 0.999834 0.002268 0.999693 0.002333 1.000118 0.002410 0.999559 0.002494 
7800.100433 1.9102 2556.9 -1.843 0.175 9.95 13581.1 MSCL0_1702150534 0.994747 0.002164 0.996186 0.002198 0.997899 0.002251 1.000215 0.002319 1.001618 0.002396 1.003275 0.002482 
7800.101185 1.9007 2569.2 -1.062 -0.709 9.78 13743.7 MSCL0_1702150535 1.001948 0.002181 1.001956 0.002214 1.002349 0.002268 1.001811 0.002333 1.002999 0.002412 1.003044 0.002496 
7800.101915 1.8917 2571.3 -0.741 0.107 10.07 13068.7 MSCL0_1702150536 0.995780 0.002197 0.996707 0.002226 0.996623 0.002273 0.996465 0.002334 0.997454 0.002409 0.998428 0.002492 
7800.102655 1.8826 2564.2 -1.728 0.014 9.25 14741.9 MSCL0_1702150537 1.005359 0.002134 1.006347 0.002174 1.007348 0.002231 1.007821 0.002300 1.007944 0.002378 1.008311 0.002464 
7800.103396 1.8735 2552.3 -0.551 0.084 8.94 16088.7 MSCL0_1702150538 1.001565 0.002105 1.002818 0.002147 1.004618 0.002208 1.005420 0.002278 1.004891 0.002355 1.004689 0.002440 
7800.104126 1.8648 2532.3 -1.505 -0.124 7.76 20967.6 MSCL0_1702150539 1.006270 0.002016 1.006527 0.002073 1.007065 0.002141 1.007287 0.002219 1.007465 0.002303 1.007777 0.002391 
7800.104867 1.8559 2531.6 -0.523 0.198 8.63 17254.8 MSCL0_1702150540 1.003072 0.002056 1.004170 0.002102 1.004264 0.002161 1.003974 0.002230 1.003899 0.002307 1.004916 0.002393 
7800.105608 1.8472 2545.0 -2.102 0.134 7.92 18813.6 MSCL0_1702150541 1.006664 0.002031 1.006873 0.002080 1.007585 0.002143 1.008170 0.002216 1.008752 0.002296 1.008851 0.002381 
7800.106360 1.8384 2548.9 -0.970 -0.054 8.21 18612.2 MSCL0_1702150542 1.003502 0.002018 1.004071 0.002068 1.004807 0.002133 1.006181 0.002208 1.006296 0.002289 1.005835 0.002375 
